Field,ID,Type (Typ),default,en,de
TrailerThumbnail5,1044,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail6,1045,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail7,1046,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail8,1047,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail9,1048,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail10,1049,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail11,1050,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail12,1051,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail13,1052,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail14,1053,Relativer Pfad (oder URL zur Datei in Dev Center),,,
TrailerThumbnail15,1054,Relativer Pfad (oder URL zur Datei in Dev Center),,,
OverrideLogosForWin10,603,True/False,,False,False
StoreLogoOverride150x150,604,Relativer Pfad (oder URL zur Datei in Dev Center),,,
StoreLogoOverride71x71,605,Relativer Pfad (oder URL zur Datei in Dev Center),,,
OptionalPromo358x358,611,Relativer Pfad (oder URL zur Datei in Dev Center),,,
OptionalPromo1000x800,612,Relativer Pfad (oder URL zur Datei in Dev Center),,,
OptionalPromo414x180,613,Relativer Pfad (oder URL zur Datei in Dev Center),,,
Feature1,700,Text,,,Automatische Berechnungen
Feature2,701,Text,,,Schnellsuche
Feature3,702,Text,,,Automatische Speicherung
Feature4,703,Text,,,Design passt sich an Farbe und Displaygröße an
Feature5,704,Text,,,viele Optionen
Feature6,705,Text,,,
Feature7,706,Text,,,
Feature8,707,Text,,,
Feature9,708,Text,,,
Feature10,709,Text,,,
Feature11,710,Text,,,
Feature12,711,Text,,,
Feature13,712,Text,,,
Feature14,713,Text,,,
Feature15,714,Text,,,
Feature16,715,Text,,,
Feature17,716,Text,,,
Feature18,717,Text,,,
Feature19,718,Text,,,
Feature20,719,Text,,,
MinimumHardwareReq1,800,Text,,,
MinimumHardwareReq2,801,Text,,,
MinimumHardwareReq3,802,Text,,,
MinimumHardwareReq4,803,Text,,,
MinimumHardwareReq5,804,Text,,,
MinimumHardwareReq6,805,Text,,,
MinimumHardwareReq7,806,Text,,,
MinimumHardwareReq8,807,Text,,,
MinimumHardwareReq9,808,Text,,,
MinimumHardwareReq10,809,Text,,,
MinimumHardwareReq11,810,Text,,,
RecommendedHardwareReq1,850,Text,,,
RecommendedHardwareReq2,851,Text,,,
RecommendedHardwareReq3,852,Text,,,
RecommendedHardwareReq4,853,Text,,,
RecommendedHardwareReq5,854,Text,,,
RecommendedHardwareReq6,855,Text,,,
RecommendedHardwareReq7,856,Text,,,
RecommendedHardwareReq8,857,Text,,,
RecommendedHardwareReq9,858,Text,,,
RecommendedHardwareReq10,859,Text,,,
RecommendedHardwareReq11,860,Text,,,
